# Generated by tools/extract-asset-index.py from the authenticated source table
# %N references are canonical English identifiers, resolved at generation time
# kind	version	archive	path	arg1	arg2	arg3	arg4
R	0	1000	wasteland/wasteland	10	0	0	0
T	0	1000	wasteland/terrain/wasteland	10	11	12	13
R	3	1000	swamp/swamp	10	0	0	0
T	3	1000	swamp/terrain/swamp	10	11	12	13
R	0	1000	winter/winter	18	0	0	0
T	0	1000	winter/terrain/winter	18	19	20	21
G	0	1000	human/units/dwarven_demolition_squad	2	33	0	0
G	0	1000	orc/units/goblin_sappers	2	34	0	0
G	0	1000	human/units/gryphon_rider	2	35	0	0
G	0	1000	orc/units/dragon	2	36	0	0
G	0	1000	orc/units/eye_of_kilrogg	2	37	0	0
G	0	1000	human/units/gnomish_flying_machine	2	38	0	0
G	0	1000	human/units/transport	2	39	0	0
G	0	1000	orc/units/transport	2	40	0	0
G	0	1000	human/units/battleship	2	41	0	0
G	0	1000	orc/units/ogre_juggernaught	2	42	0	0
G	0	1000	human/units/gnomish_submarine	2	43	0	0
G	0	1000	orc/units/giant_turtle	2	44	0	0
G	0	1000	human/units/footman	2	45	0	0
G	0	1000	orc/units/grunt	2	46	0	0
G	0	1000	human/units/peasant	2	47	0	0
G	0	1000	orc/units/peon	2	48	0	0
G	0	1000	human/units/ballista	2	49	0	0
G	0	1000	orc/units/catapult	2	50	0	0
G	0	1000	human/units/knight	2	51	0	0
G	0	1000	orc/units/ogre	2	52	0	0
G	0	1000	human/units/elven_archer	2	53	0	0
G	0	1000	orc/units/troll_axethrower	2	54	0	0
G	0	1000	human/units/mage	2	55	0	0
G	0	1000	orc/units/death_knight	2	58	0	0
G	0	1000	human/units/oil_tanker_empty	2	59	0	0
G	0	1000	orc/units/oil_tanker_empty	2	60	0	0
G	0	1000	human/units/elven_destroyer	2	61	0	0
G	0	1000	orc/units/troll_destroyer	2	62	0	0
G	0	1000	orc/units/goblin_zeppelin	2	63	0	0
G	0	1000	tilesets/summer/neutral/units/critter	2	64	0	0
G	0	1000	tilesets/wasteland/neutral/units/critter	10	65	0	0
G	3	1000	tilesets/swamp/neutral/units/critter	10	65	0	0
G	0	1000	tilesets/winter/neutral/units/critter	18	66	0	0
G	0	1000	neutral/units/skeleton	2	69	0	0
G	0	1000	neutral/units/daemon	2	70	0	0
G	0	1000	tilesets/summer/human/buildings/guard_tower	2	80	0	0
G	0	1000	tilesets/summer/orc/buildings/guard_tower	2	81	0	0
G	0	1000	tilesets/summer/human/buildings/cannon_tower	2	82	0	0
G	0	1000	tilesets/summer/orc/buildings/cannon_tower	2	83	0	0
G	0	1000	tilesets/summer/human/buildings/mage_tower	2	84	0	0
G	0	1000	tilesets/summer/orc/buildings/temple_of_the_damned	2	85	0	0
G	0	1000	tilesets/summer/human/buildings/keep	2	86	0	0
G	0	1000	tilesets/summer/orc/buildings/stronghold	2	87	0	0
G	0	1000	tilesets/summer/human/buildings/gryphon_aviary	2	88	0	0
G	0	1000	tilesets/summer/orc/buildings/dragon_roost	2	89	0	0
G	0	1000	tilesets/summer/human/buildings/gnomish_inventor	2	90	0	0
G	0	1000	tilesets/summer/orc/buildings/goblin_alchemist	2	91	0	0
G	0	1000	tilesets/summer/human/buildings/farm	2	92	0	0
G	0	1000	tilesets/summer/orc/buildings/pig_farm	2	93	0	0
G	0	1000	tilesets/summer/human/buildings/barracks	2	94	0	0
G	0	1000	tilesets/summer/orc/buildings/barracks	2	95	0	0
G	0	1000	tilesets/summer/human/buildings/church	2	96	0	0
G	0	1000	tilesets/summer/orc/buildings/altar_of_storms	2	97	0	0
G	0	1000	tilesets/summer/human/buildings/scout_tower	2	98	0	0
G	0	1000	tilesets/summer/orc/buildings/watch_tower	2	99	0	0
G	0	1000	tilesets/summer/human/buildings/town_hall	2	100	0	0
G	0	1000	tilesets/summer/orc/buildings/great_hall	2	101	0	0
G	0	1000	tilesets/summer/human/buildings/elven_lumber_mill	2	102	0	0
G	0	1000	tilesets/summer/orc/buildings/troll_lumber_mill	2	103	0	0
G	0	1000	tilesets/summer/human/buildings/stables	2	104	0	0
G	0	1000	tilesets/summer/orc/buildings/ogre_mound	2	105	0	0
G	0	1000	tilesets/summer/human/buildings/blacksmith	2	106	0	0
G	0	1000	tilesets/summer/orc/buildings/blacksmith	2	107	0	0
G	0	1000	tilesets/summer/human/buildings/shipyard	2	108	0	0
G	0	1000	tilesets/summer/orc/buildings/shipyard	2	109	0	0
G	0	1000	tilesets/summer/human/buildings/foundry	2	110	0	0
G	0	1000	tilesets/summer/orc/buildings/foundry	2	111	0	0
G	0	1000	tilesets/summer/human/buildings/refinery	2	112	0	0
G	0	1000	tilesets/summer/orc/buildings/refinery	2	113	0	0
G	0	1000	tilesets/summer/human/buildings/oil_platform	2	114	0	0
G	0	1000	tilesets/summer/orc/buildings/oil_platform	2	115	0	0
G	0	1000	tilesets/summer/human/buildings/castle	2	116	0	0
G	0	1000	tilesets/summer/orc/buildings/fortress	2	117	0	0
G	0	1000	tilesets/summer/neutral/buildings/oil_patch	2	118	0	0
G	0	1000	tilesets/summer/neutral/buildings/gold_mine	2	119	0	0
G	3	1000	tilesets/swamp/human/buildings/guard_tower	2	80	0	0
G	3	1000	tilesets/swamp/orc/buildings/guard_tower	2	81	0	0
G	3	1000	tilesets/swamp/human/buildings/cannon_tower	2	82	0	0
G	3	1000	tilesets/swamp/orc/buildings/cannon_tower	2	83	0	0
G	3	1000	tilesets/swamp/human/buildings/mage_tower	2	84	0	0
G	3	1000	tilesets/swamp/orc/buildings/temple_of_the_damned	2	85	0	0
G	3	1000	tilesets/swamp/human/buildings/keep	2	86	0	0
G	3	1000	tilesets/swamp/orc/buildings/stronghold	2	87	0	0
G	3	1000	tilesets/swamp/human/buildings/gryphon_aviary	2	88	0	0
G	3	1000	tilesets/swamp/orc/buildings/dragon_roost	2	89	0	0
G	3	1000	tilesets/swamp/human/buildings/gnomish_inventor	2	90	0	0
G	3	1000	tilesets/swamp/orc/buildings/goblin_alchemist	2	91	0	0
G	3	1000	tilesets/swamp/human/buildings/farm	2	92	0	0
G	3	1000	tilesets/swamp/orc/buildings/pig_farm	2	93	0	0
G	3	1000	tilesets/swamp/human/buildings/barracks	2	94	0	0
G	3	1000	tilesets/swamp/orc/buildings/barracks	2	95	0	0
G	3	1000	tilesets/swamp/human/buildings/church	2	96	0	0
G	3	1000	tilesets/swamp/orc/buildings/altar_of_storms	2	97	0	0
G	3	1000	tilesets/swamp/human/buildings/scout_tower	2	98	0	0
G	3	1000	tilesets/swamp/orc/buildings/watch_tower	2	99	0	0
G	3	1000	tilesets/swamp/human/buildings/town_hall	2	100	0	0
G	3	1000	tilesets/swamp/orc/buildings/great_hall	2	101	0	0
G	3	1000	tilesets/swamp/human/buildings/elven_lumber_mill	2	102	0	0
G	3	1000	tilesets/swamp/orc/buildings/troll_lumber_mill	2	103	0	0
G	3	1000	tilesets/swamp/human/buildings/stables	2	104	0	0
G	3	1000	tilesets/swamp/orc/buildings/ogre_mound	2	105	0	0
G	3	1000	tilesets/swamp/human/buildings/blacksmith	2	106	0	0
G	3	1000	tilesets/swamp/orc/buildings/blacksmith	2	107	0	0
G	3	1000	tilesets/swamp/human/buildings/shipyard	2	108	0	0
G	3	1000	tilesets/swamp/orc/buildings/shipyard	2	109	0	0
G	3	1000	tilesets/swamp/human/buildings/foundry	2	110	0	0
G	3	1000	tilesets/swamp/orc/buildings/foundry	2	111	0	0
G	3	1000	tilesets/swamp/human/buildings/refinery	2	112	0	0
G	3	1000	tilesets/swamp/orc/buildings/refinery	2	113	0	0
G	3	1000	tilesets/swamp/human/buildings/oil_platform	2	114	0	0
G	3	1000	tilesets/swamp/orc/buildings/oil_platform	2	115	0	0
G	3	1000	tilesets/swamp/human/buildings/castle	2	116	0	0
G	3	1000	tilesets/swamp/orc/buildings/fortress	2	117	0	0
G	0	1000	neutral/units/corpses	2	120	0	0
G	0	1000	tilesets/summer/neutral/buildings/destroyed_site	2	121	0	0
G	0	1000	human/units/peasant_with_wood	2	122	47	25
G	0	1000	orc/units/peon_with_wood	2	123	48	25
G	0	1000	human/units/peasant_with_gold	2	124	47	25
G	0	1000	orc/units/peon_with_gold	2	125	48	25
G	0	1000	human/units/oil_tanker_full	2	126	0	0
G	0	1000	orc/units/oil_tanker_full	2	127	0	0
G	0	1000	tilesets/winter/human/buildings/keep	18	128	0	0
G	0	1000	tilesets/winter/orc/buildings/stronghold	18	129	0	0
G	0	1000	tilesets/winter/human/buildings/gryphon_aviary	18	130	0	0
G	0	1000	tilesets/winter/orc/buildings/dragon_roost	18	131	0	0
G	0	1000	tilesets/winter/human/buildings/gnomish_inventor	18	132	0	0
G	0	1000	tilesets/winter/orc/buildings/goblin_alchemist	18	133	0	0
G	0	1000	tilesets/winter/human/buildings/farm	18	134	0	0
G	0	1000	tilesets/winter/orc/buildings/pig_farm	18	135	0	0
G	0	1000	tilesets/winter/human/buildings/barracks	18	136	0	0
G	0	1000	tilesets/winter/orc/buildings/barracks	18	137	0	0
G	0	1000	tilesets/winter/human/buildings/church	18	138	0	0
G	0	1000	tilesets/winter/orc/buildings/altar_of_storms	18	139	0	0
G	0	1000	tilesets/winter/human/buildings/scout_tower	18	140	0	0
G	0	1000	tilesets/winter/orc/buildings/watch_tower	18	141	0	0
G	0	1000	tilesets/winter/human/buildings/town_hall	18	142	0	0
G	0	1000	tilesets/winter/orc/buildings/great_hall	18	143	0	0
G	0	1000	tilesets/winter/human/buildings/elven_lumber_mill	18	144	0	0
G	0	1000	tilesets/winter/orc/buildings/troll_lumber_mill	18	145	0	0
G	0	1000	tilesets/winter/human/buildings/stables	18	146	0	0
G	0	1000	tilesets/winter/orc/buildings/ogre_mound	18	147	0	0
G	0	1000	tilesets/winter/human/buildings/blacksmith	18	148	0	0
G	0	1000	tilesets/winter/orc/buildings/blacksmith	18	149	0	0
G	0	1000	tilesets/winter/human/buildings/shipyard	18	150	0	0
G	0	1000	tilesets/winter/orc/buildings/shipyard	18	151	0	0
G	0	1000	tilesets/winter/human/buildings/foundry	18	152	0	0
G	0	1000	tilesets/winter/orc/buildings/foundry	18	153	0	0
G	0	1000	tilesets/winter/human/buildings/refinery	18	154	0	0
G	0	1000	tilesets/winter/orc/buildings/refinery	18	155	0	0
G	0	1000	tilesets/winter/human/buildings/oil_platform	18	156	0	0
G	0	1000	tilesets/winter/orc/buildings/oil_platform	18	157	0	0
G	0	1000	tilesets/winter/human/buildings/castle	18	158	0	0
G	0	1000	tilesets/winter/orc/buildings/fortress	18	159	0	0
G	0	1000	tilesets/winter/human/buildings/mage_tower	18	160	0	0
G	0	1000	tilesets/winter/orc/buildings/temple_of_the_damned	18	161	0	0
G	0	1000	tilesets/winter/neutral/buildings/gold_mine	18	162	0	0
G	0	1000	tilesets/winter/neutral/buildings/destroyed_site	18	163	0	0
G	0	1000	human/x_startpoint	2	164	0	0
G	0	1000	orc/o_startpoint	2	165	0	0
G	0	1000	neutral/buildings/circle_of_power	2	166	0	0
G	0	1000	tilesets/summer/neutral/buildings/dark_portal	2	167	0	0
G	0	1000	tilesets/summer/neutral/buildings/wall	2	168	0	0
G	0	1000	tilesets/winter/human/buildings/guard_tower	18	169	0	0
G	0	1000	tilesets/winter/orc/buildings/guard_tower	18	170	0	0
G	0	1000	tilesets/winter/human/buildings/cannon_tower	18	171	0	0
G	0	1000	tilesets/winter/orc/buildings/cannon_tower	18	172	0	0
G	0	1000	tilesets/wasteland/human/buildings/farm	10	173	0	0
G	0	1000	tilesets/wasteland/orc/buildings/pig_farm	10	174	0	0
G	0	1000	tilesets/wasteland/human/buildings/elven_lumber_mill	10	175	0	0
G	0	1000	tilesets/wasteland/orc/buildings/troll_lumber_mill	10	176	0	0
G	0	1000	tilesets/wasteland/human/buildings/oil_platform	10	177	0	0
G	0	1000	tilesets/wasteland/orc/buildings/oil_platform	10	178	0	0
G	0	1000	tilesets/wasteland/neutral/buildings/gold_mine	10	179	0	0
G	0	1000	tilesets/wasteland/neutral/buildings/oil_patch	10	180	0	0
G	3	1000	tilesets/swamp/human/buildings/farm	10	173	0	0
G	3	1000	tilesets/swamp/orc/buildings/pig_farm	10	174	0	0
G	3	1000	tilesets/swamp/human/buildings/elven_lumber_mill	10	175	0	0
G	3	1000	tilesets/swamp/orc/buildings/troll_lumber_mill	10	176	0	0
G	3	1000	tilesets/swamp/human/buildings/oil_platform	10	177	0	0
G	3	1000	tilesets/swamp/orc/buildings/oil_platform	10	178	0	0
G	3	1000	tilesets/swamp/neutral/buildings/gold_mine	10	179	0	0
G	3	1000	tilesets/swamp/neutral/buildings/oil_patch	10	180	0	0
G	0	1000	neutral/buildings/runestone	2	181	0	0
G	0	1000	tilesets/wasteland/human/units/gnomish_submarine	10	182	0	0
G	0	1000	tilesets/wasteland/orc/units/giant_turtle	10	183	0	0
G	3	1000	tilesets/swamp/human/units/gnomish_submarine	10	182	0	0
G	3	1000	tilesets/swamp/orc/units/giant_turtle	10	183	0	0
G	0	1000	tilesets/winter/neutral/buildings/dark_portal	18	184	0	0
G	0	1000	tilesets/wasteland/neutral/buildings/dark_portal	10	185	0	0
G	3	1000	tilesets/swamp/neutral/buildings/dark_portal	10	185	0	0
G	3	1000	tilesets/swamp/neutral/buildings/runestone	2	181	0	0
G	0	1000	tilesets/winter/neutral/buildings/runestone	18	186	0	0
U	0	1000	ui/gold,wood,oil,mana	2	187	0	0
G	0	1000	tilesets/wasteland/neutral/buildings/small_destroyed_site	10	188	0	0
G	3	1000	tilesets/swamp/neutral/buildings/small_destroyed_site	10	188	0	0
G	0	1000	tilesets/summer/neutral/buildings/small_destroyed_site	2	189	0	0
G	0	1000	tilesets/winter/neutral/buildings/small_destroyed_site	18	190	0	0
G	0	1000	tilesets/wasteland/neutral/buildings/destroyed_site	10	191	0	0
G	3	1000	tilesets/swamp/neutral/buildings/destroyed_site	10	191	0	0
P	0	1000	campaigns/human/level01h	192	0	0	0
P	0	1000	campaigns/orc/level01o	193	0	0	0
P	0	1000	campaigns/human/level02h	194	0	0	0
P	0	1000	campaigns/orc/level02o	195	0	0	0
P	0	1000	campaigns/human/level03h	196	0	0	0
P	0	1000	campaigns/orc/level03o	197	0	0	0
P	0	1000	campaigns/human/level04h	198	0	0	0
P	0	1000	campaigns/orc/level04o	199	0	0	0
P	0	1000	campaigns/human/level05h	200	0	0	0
P	0	1000	campaigns/orc/level05o	201	0	0	0
P	0	1000	campaigns/human/level06h	202	0	0	0
P	0	1000	campaigns/orc/level06o	203	0	0	0
P	0	1000	campaigns/human/level07h	204	0	0	0
P	0	1000	campaigns/orc/level07o	205	0	0	0
P	0	1000	campaigns/human/level08h	206	0	0	0
P	0	1000	campaigns/orc/level08o	207	0	0	0
P	0	1000	campaigns/human/level09h	208	0	0	0
P	0	1000	campaigns/orc/level09o	209	0	0	0
P	0	1000	campaigns/human/level10h	210	0	0	0
P	0	1000	campaigns/orc/level10o	211	0	0	0
P	0	1000	campaigns/human/level11h	212	0	0	0
P	0	1000	campaigns/orc/level11o	213	0	0	0
P	0	1000	campaigns/human/level12h	214	0	0	0
P	0	1000	campaigns/orc/level12o	215	0	0	0
P	0	1000	campaigns/human/level13h	216	0	0	0
P	0	1000	campaigns/orc/level13o	217	0	0	0
P	0	1000	campaigns/human/level14h	218	0	0	0
P	0	1000	campaigns/orc/level14o	219	0	0	0
P	0	1000	maps/skirmish/(6)gold-separates-east-west	220	0	0	0
P	0	1000	maps/skirmish/(4)oil-is-the-key	221	0	0	0
P	0	1000	maps/skirmish/(8)bridge-to-bridge-combat	222	0	0	0
P	0	1000	maps/skirmish/(8)plains-of-snow	223	0	0	0
P	0	1000	maps/skirmish/(3)three-ways-to-cross	224	0	0	0
P	0	1000	maps/skirmish/(8)a-continent-to-explore	225	0	0	0
P	0	1000	maps/skirmish/(8)high-seas-combat	226	0	0	0
P	0	1000	maps/skirmish/(4)islands-in-the-stream	227	0	0	0
P	0	1000	maps/skirmish/(4)opposing-city-states	228	0	0	0
P	0	1000	maps/skirmish/(4)death-in-the-middle	229	0	0	0
P	0	1000	maps/skirmish/(5)the-spiral	230	0	0	0
P	0	1000	maps/skirmish/(2)mysterious-dragon-isle	231	0	0	0
P	0	1000	maps/skirmish/(4)the-four-corners	232	0	0	0
P	0	1000	maps/skirmish/(6)no-way-out-of-this-maze	233	0	0	0
P	0	1000	maps/skirmish/(8)fierce-ocean-combat	234	0	0	0
P	0	1000	maps/skirmish/(2)cross-the-streams	235	0	0	0
P	0	1000	maps/skirmish/(5)how-much-can-you-mine	236	0	0	0
P	0	1000	maps/skirmish/(2)x-marks-the-spot	237	0	0	0
P	0	1000	maps/skirmish/(2)one-way-in-one-way-out	238	0	0	0
P	0	1000	maps/skirmish/(4)nowhere-to-run	239	0	0	0
P	0	1000	maps/skirmish/(2)2-players	240	0	0	0
P	0	1000	maps/skirmish/(7)and-the-rivers-ran-as-blood	241	0	0	0
P	0	1000	maps/skirmish/(3)critter-attack	242	0	0	0
P	0	1000	maps/skirmish/(6)skull-isle	243	0	0	0
P	0	1000	maps/skirmish/(8)cross-over	244	0	0	0
P	0	1000	maps/skirmish/(8)garden-of-war	245	0	0	0
P	0	1000	maps/skirmish/(4)mine-the-center	246	0	0	0
P	0	1000	maps/skirmish/(3)river-fork	247	0	0	0
P	0	1000	maps/demo/demo01	248	0	0	0
P	0	1000	maps/demo/demo02	249	0	0	0
P	0	1000	maps/demo/demo03	250	0	0	0
P	0	1000	maps/demo/demo04	251	0	0	0
G	0	1000	neutral/buildings/land_construction_site	2	252	0	0
G	0	1000	human/buildings/shipyard_construction_site	2	253	0	0
G	0	1000	orc/buildings/shipyard_construction_site	2	254	0	0
G	3	1000	tilesets/swamp/neutral/buildings/land_construction_site	2	252	0	0
G	3	1000	tilesets/swamp/human/buildings/shipyard_construction_site	2	253	0	0
G	3	1000	tilesets/swamp/orc/buildings/shipyard_construction_site	2	254	0	0
G	0	1000	tilesets/summer/human/buildings/oil_well_construction_site	2	255	0	0
G	0	1000	tilesets/summer/orc/buildings/oil_well_construction_site	2	256	0	0
G	0	1000	human/buildings/refinery_construction_site	2	257	0	0
G	0	1000	orc/buildings/refinery_construction_site	2	258	0	0
G	0	1000	human/buildings/foundry_construction_site	2	259	0	0
G	0	1000	orc/buildings/foundry_construction_site	2	260	0	0
G	3	1000	tilesets/swamp/human/buildings/refinery_construction_site	2	257	0	0
G	3	1000	tilesets/swamp/orc/buildings/refinery_construction_site	2	258	0	0
G	3	1000	tilesets/swamp/human/buildings/foundry_construction_site	2	259	0	0
G	3	1000	tilesets/swamp/orc/buildings/foundry_construction_site	2	260	0	0
G	0	1000	tilesets/summer/neutral/buildings/wall_construction_site	2	261	0	0
G	0	1000	tilesets/winter/neutral/buildings/land_construction_site	18	262	0	0
G	0	1000	tilesets/winter/human/buildings/shipyard_construction_site	18	263	0	0
G	0	1000	tilesets/winter/orc/buildings/shipyard_construction_site	18	264	0	0
G	0	1000	tilesets/winter/human/buildings/oil_well_construction_site	18	265	0	0
G	0	1000	tilesets/winter/orc/buildings/oil_well_construction_site	18	266	0	0
G	0	1000	tilesets/winter/human/buildings/refinery_construction_site	18	267	0	0
G	0	1000	tilesets/winter/orc/buildings/refinery_construction_site	18	268	0	0
G	0	1000	tilesets/winter/human/buildings/foundry_construction_site	18	269	0	0
G	0	1000	tilesets/winter/orc/buildings/foundry_construction_site	18	270	0	0
G	0	1000	tilesets/wasteland/human/buildings/oil_well_construction_site	10	271	0	0
G	0	1000	tilesets/wasteland/orc/buildings/oil_well_construction_site	10	272	0	0
G	3	1000	tilesets/swamp/human/buildings/oil_platform_construction_site	10	271	0	0
G	3	1000	tilesets/swamp/orc/buildings/oil_platform_construction_site	10	272	0	0
G	0	1000	tilesets/winter/neutral/buildings/wall	18	273	0	0
G	0	1000	tilesets/wasteland/neutral/buildings/wall	10	274	0	0
G	3	1000	tilesets/swamp/neutral/buildings/wall	10	274	0	0
G	0	1000	tilesets/winter/neutral/buildings/wall_construction_site	18	275	0	0
G	0	1000	tilesets/wasteland/neutral/buildings/wall_construction_site	10	276	0	0
G	3	1000	tilesets/swamp/neutral/buildings/wall_construction_site	10	276	0	0
N	0	1000	large_episode_titles	279	0	0	0
N	0	1000	small_episode_titles	280	0	0	0
N	0	1000	large	281	0	0	0
N	0	1000	game	282	0	0	0
N	0	1000	small	283	0	0	0
I	0	1000	ui/human/menubutton	2	293	0	0
I	0	1000	ui/orc/menubutton	2	294	0	0
I	0	1000	ui/human/minimap	2	295	0	0
I	0	1000	ui/orc/minimap	2	296	0	0
I	0	1000	ui/title	300	299	0	0
I	0	1000	ui/human/resource	2	287	0	0
I	0	1000	ui/orc/resource	2	288	0	0
I	0	1000	ui/human/filler-right	2	289	0	0
I	0	1000	ui/orc/filler-right	2	290	0	0
I	0	1000	ui/human/statusline	2	291	0	0
I	0	1000	ui/orc/statusline	2	292	0	0
I	0	1000	ui/human/buttonpanel	2	297	0	0
I	0	1000	ui/orc/buttonpanel	2	298	0	0
C	0	1000	human/cursors/human_gauntlet	2	301	0	0
C	0	1000	orc/cursors/orcish_claw	2	302	0	0
C	0	1000	human/cursors/human_dont_click_here	2	303	0	0
C	0	1000	orc/cursors/orcish_dont_click_here	2	304	0	0
C	0	1000	human/cursors/yellow_eagle	2	305	0	0
C	0	1000	orc/cursors/yellow_crosshairs	2	306	0	0
C	0	1000	human/cursors/red_eagle	2	307	0	0
C	0	1000	orc/cursors/red_crosshairs	2	308	0	0
C	0	1000	human/cursors/green_eagle	2	309	0	0
C	0	1000	orc/cursors/green_crosshairs	2	310	0	0
C	0	1000	cursors/magnifying_glass	2	311	0	0
C	0	1000	cursors/small_green_cross	2	312	0	0
C	0	1000	cursors/hourglass	2	313	0	0
C	0	1000	cursors/credits_arrow	27	314	0	0
C	0	1000	cursors/arrow_N	2	315	0	0
C	0	1000	cursors/arrow_NE	2	316	0	0
C	0	1000	cursors/arrow_E	2	317	0	0
C	0	1000	cursors/arrow_SE	2	318	0	0
C	0	1000	cursors/arrow_S	2	319	0	0
C	0	1000	cursors/arrow_SW	2	320	0	0
C	0	1000	cursors/arrow_W	2	321	0	0
C	0	1000	cursors/arrow_NW	2	322	0	0
U	0	1000	ui/bloodlust,haste,slow,invisible,shield	2	323	0	0
G	0	1000	missiles/lightning	2	324	0	0
G	0	1000	missiles/gryphon_hammer	2	325	0	0
G	0	1000	missiles/dragon_breath	2	326	0	0
G	0	1000	missiles/fireball	2	327	0	0
G	0	1000	missiles/flame_shield	2	328	0	0
G	0	1000	missiles/blizzard	2	329	0	0
G	0	1000	missiles/death_and_decay	2	330	0	0
G	0	1000	missiles/big_cannon	2	331	0	0
G	0	1000	missiles/exorcism	2	332	0	0
G	0	1000	missiles/heal_effect	2	333	0	0
G	0	1000	missiles/touch_of_death	2	334	0	0
G	0	1000	missiles/rune	2	335	0	0
G	0	1000	missiles/tornado	2	336	0	0
G	0	1000	missiles/catapult_rock	2	337	0	0
G	0	1000	missiles/ballista_bolt	2	338	0	0
G	0	1000	missiles/arrow	2	339	0	0
G	0	1000	missiles/axe	2	340	0	0
G	0	1000	missiles/submarine_missile	2	341	0	0
G	0	1000	missiles/turtle_missile	2	342	0	0
G	0	1000	missiles/small_fire	2	343	0	0
G	0	1000	missiles/big_fire	2	344	0	0
G	0	1000	missiles/ballista-catapult_impact	2	345	0	0
G	0	1000	missiles/normal_spell	2	346	0	0
G	0	1000	missiles/explosion	2	347	0	0
G	0	1000	missiles/cannon	2	348	0	0
G	0	1000	missiles/cannon_explosion	2	349	0	0
G	0	1000	missiles/cannon-tower_explosion	2	350	0	0
G	0	1000	missiles/daemon_fire	2	351	0	0
G	0	1000	missiles/green_cross	2	352	0	0
G	0	1000	missiles/unit_shadow	2	353	0	0
U	0	1000	ui/human/infopanel	2	354	0	0
U	0	1000	ui/orc/infopanel	2	355	0	0
G	0	1000	tilesets/summer/icons	2	356	0	0
G	0	1000	tilesets/winter/icons	18	357	0	0
G	0	1000	tilesets/wasteland/icons	10	358	0	0
G	3	1000	tilesets/swamp/icons	10	358	0	0
I	0	1000	ui/human/victory	363	359	0	0
I	0	1000	ui/orc/victory	364	360	0	0
I	0	1000	ui/human/defeat	365	361	0	0
I	0	1000	ui/orc/defeat	366	362	0	0
I	0	1000	../campaigns/human/interface/introscreen1	367	369	0	0
I	0	1000	../campaigns/orc/interface/introscreen1	368	370	0	0
I	0	1000	../campaigns/orc/interface/introscreen2	368	371	0	0
I	0	1000	../campaigns/orc/interface/introscreen3	368	372	0	0
I	0	1000	../campaigns/orc/interface/introscreen4	368	373	0	0
I	0	1000	../campaigns/orc/interface/introscreen5	368	374	0	0
